iter	Poisson
0	-66.8497398
1	-189.1934886
2	-289.5800604
3	-374.8442548
4	-452.254283
5	-526.8890402
6	-593.1680045
7	-709.6494871
8	-826.3460616
9	-929.3662212
10	-1037.070113
11	-1144.007467
12	-1244.636776
13	-1344.805269
14	-1439.746081
15	-1531.670588
16	-1621.526807
17	-1706.115724
18	-1788.111288
19	-1867.761937
20	-1944.309083
21	-2018.445547
22	-2090.371047
23	-2160.100921
24	-2227.281782
25	-2292.060609
26	-2354.882757
27	-2415.383125
28	-2474.265762
29	-2531.282162
30	-2586.159219
31	-2639.11368
32	-2690.030331
33	-2739.269235
34	-2786.661916
35	-2832.144821
36	-2876.624674
37	-2918.861798
38	-2959.883119
39	-2999.450468
40	-3037.3964
41	-3073.907775
42	-3109.236697
43	-3142.783039
44	-3175.294253
45	-3206.301924
46	-3236.353908
47	-3265.154701
48	-3292.55221
49	-3319.114136
50	-3344.514472
51	-3368.700349
52	-3391.883729
53	-3413.990771
54	-3435.357022
55	-3455.756587
56	-3475.217862
57	-3493.974153
58	-3511.699769
59	-3528.881769
60	-3545.341823
61	-3560.891859
62	-3575.745727
63	-3590.0233
64	-3603.71419
65	-3616.5927
66	-3629.085353
67	-3640.929499
68	-3652.325364
69	-3663.140044
70	-3673.465558
71	-3683.192537
72	-3692.556756
73	-3701.487589
74	-3709.898337
75	-3718.026016
76	-3725.679497
77	-3733.01796
78	-3739.791683
79	-3746.348304
80	-3752.588646
81	-3758.517696
82	-3764.186436
83	-3769.491205
84	-3774.622713
85	-3779.483785
86	-3784.013164
87	-3788.332811
88	-3792.577898
89	-3796.587454
90	-3800.216497
91	-3803.762056
92	-3807.243311
93	-3810.444793
94	-3813.445609
95	-3816.265383
96	-3819.010792
97	-3821.700797
98	-3824.210163
99	-3826.54611
100	-3828.856987
101	-3830.896995
102	-3832.876299
103	-3834.788677
104	-3836.749578
105	-3838.428901
106	-3840.079083
107	-3841.641245
108	-3843.219471
109	-3844.712433
110	-3846.083984
111	-3847.323556
112	-3848.530953
113	-3849.713171
114	-3850.758954
115	-3851.810764
116	-3852.828714
117	-3853.741627
118	-3854.656616
119	-3855.578518
120	-3856.462942
121	-3857.236448
122	-3857.983486
123	-3858.669007
124	-3859.368973
125	-3860.072656
126	-3860.708767
127	-3861.24101
128	-3861.76923
129	-3862.345401
130	-3862.852054
131	-3863.372464
132	-3863.806389
133	-3864.219767
134	-3864.686097
135	-3865.09131
136	-3865.435483
137	-3865.802136
138	-3866.131548
139	-3866.492405
140	-3866.831216
141	-3867.209626
142	-3867.472578
143	-3867.773657
144	-3868.044411
145	-3868.339535
146	-3868.617431
147	-3868.878935
148	-3869.111353
149	-3869.354467
150	-3869.569431
151	-3869.748676
152	-3869.934569
153	-3870.141984
154	-3870.306068
155	-3870.558822
156	-3870.779069
157	-3870.926578
158	-3871.069845
159	-3871.236052
160	-3871.342416
161	-3871.47349
162	-3871.614311
163	-3871.765878
164	-3871.916233
165	-3872.019883
166	-3872.141877
167	-3872.286081
168	-3872.378349
169	-3872.500016
170	-3872.612961
171	-3872.708088
172	-3872.777621
173	-3872.902606
174	-3873.013074
175	-3873.155639
176	-3873.23414
177	-3873.33722
178	-3873.442126
179	-3873.530935
180	-3873.610285
181	-3873.655383
182	-3873.730954
183	-3873.797802
184	-3873.859697
185	-3873.938756
186	-3874.00617
187	-3874.093908
188	-3874.172301
189	-3874.269382
190	-3874.332681
191	-3874.390145
192	-3874.446071
193	-3874.56942
194	-3874.653092
195	-3874.722168
196	-3874.750972
197	-3874.802351
198	-3874.889675
199	-3874.915305
200	-3874.961885
201	-3875.011572
202	-3875.056855
203	-3875.124584
204	-3875.170394
205	-3875.221086
206	-3875.330359
207	-3875.389514
208	-3875.444541
209	-3875.510684
210	-3875.574941
211	-3875.637454
212	-3875.672862
213	-3875.715367
214	-3875.803097
