iter	Passed	Remaining
0	137	68579
1	139	34702
2	141	23362
3	142	17690
4	144	14279
5	145	12005
6	147	10378
7	149	9167
8	150	8237
9	152	7492
10	154	6869
11	156	6350
12	157	5918
13	159	5544
14	161	5220
15	163	4935
16	165	4699
17	167	4475
18	168	4273
19	170	4092
20	172	3928
21	173	3778
22	175	3643
23	178	3537
24	180	3426
25	182	3319
26	183	3219
27	185	3126
28	187	3039
29	189	2970
30	191	2904
31	193	2833
32	195	2767
33	197	2706
34	199	2646
35	201	2593
36	203	2541
37	204	2489
38	206	2440
39	208	2394
40	209	2349
41	211	2307
42	213	2272
43	215	2235
44	217	2197
45	219	2163
46	220	2129
47	222	2097
48	224	2066
49	226	2039
50	228	2011
51	230	1983
52	232	1957
53	233	1932
54	235	1907
55	237	1882
56	239	1861
57	241	1839
58	243	1817
59	244	1795
60	246	1773
61	248	1753
62	249	1733
63	252	1717
64	254	1700
65	255	1681
66	257	1662
67	259	1646
68	260	1630
69	262	1613
70	264	1599
71	266	1584
72	268	1568
73	270	1556
74	272	1542
75	273	1528
76	275	1515
77	278	1504
78	279	1491
79	281	1478
80	283	1466
81	285	1454
82	287	1442
83	289	1431
84	290	1419
85	292	1407
86	294	1396
87	295	1385
88	297	1374
89	299	1364
90	301	1354
91	303	1344
92	305	1335
93	306	1324
94	308	1315
95	310	1306
96	312	1296
97	314	1291
98	316	1283
99	318	1273
100	320	1264
101	321	1256
102	323	1246
103	325	1238
104	327	1232
105	329	1224
106	331	1216
107	332	1207
108	334	1199
109	336	1192
110	337	1184
111	340	1178
112	342	1171
113	343	1164
114	345	1156
115	347	1149
116	348	1141
117	350	1134
118	352	1129
119	354	1122
120	356	1116
121	358	1109
122	359	1102
123	361	1096
124	363	1090
125	365	1084
126	367	1078
127	368	1071
128	370	1066
129	372	1060
130	374	1054
131	376	1048
132	378	1043
133	380	1038
134	381	1032
135	383	1026
136	385	1020
137	386	1014
138	388	1010
139	391	1005
140	393	1000
141	395	995
142	397	991
143	398	986
144	400	981
145	404	981
146	407	979
147	410	976
148	412	972
149	416	971
150	419	969
151	421	965
152	424	962
153	428	963
154	431	961
155	433	956
156	436	952
157	440	953
158	445	954
159	447	950
160	449	946
161	454	948
162	457	945
163	459	941
164	461	936
165	463	932
166	466	930
167	469	927
168	471	923
169	473	918
170	474	913
171	477	911
172	480	908
173	482	903
174	484	899
175	485	894
176	487	889
177	491	888
178	493	885
179	495	881
180	497	876
181	499	872
182	502	870
183	505	868
184	507	863
185	509	859
186	511	855
187	512	851
188	516	850
189	519	847
190	521	843
191	522	838
192	524	834
193	527	832
194	530	829
195	532	825
196	534	821
197	536	817
198	538	814
199	541	812
200	543	808
201	545	804
202	547	800
203	548	796
204	551	793
205	554	791
206	556	787
207	558	783
208	560	779
209	561	775
210	565	774
211	567	771
212	569	767
213	571	763
214	573	760
215	575	756
216	578	754
217	580	751
218	582	747
219	584	743
220	586	739
221	588	736
222	591	734
223	593	731
224	595	727
225	596	723
226	598	719
227	601	717
228	604	715
229	606	711
230	608	708
231	610	704
232	612	701
233	615	699
234	618	696
235	619	693
236	621	689
237	623	686
238	625	683
239	629	681
240	630	678
241	632	674
242	634	670
243	636	667
244	640	666
245	642	663
246	644	660
247	646	657
248	648	653
249	651	651
250	654	649
251	656	646
252	658	642
253	660	639
254	662	636
255	665	634
256	668	631
257	670	628
258	672	625
259	674	622
260	678	620
261	680	618
262	682	614
263	684	611
264	685	608
265	689	606
266	692	604
267	694	601
268	696	597
269	698	594
270	701	592
271	704	590
272	706	587
273	708	584
274	709	580
275	712	578
276	716	576
277	717	573
278	719	570
279	721	566
280	723	564
281	727	562
282	730	559
283	731	556
284	733	553
285	735	550
286	739	548
287	741	546
288	743	543
289	745	539
290	747	536
291	749	534
292	753	532
293	755	529
294	757	526
295	759	523
296	761	520
297	765	519
298	767	516
299	769	512
300	771	509
301	773	507
302	778	505
303	780	502
304	781	499
305	783	496
306	785	494
307	790	492
308	792	489
309	793	486
310	795	483
311	797	480
312	802	479
313	804	476
314	805	473
315	807	470
316	809	467
317	813	465
318	816	463
319	818	460
320	820	457
321	822	454
322	826	452
323	828	450
324	830	447
325	832	444
326	834	441
327	836	438
328	840	436
329	841	433
330	843	430
